HOTEL,ANIO,MES,ESCENARIO,RN,HABITACIONES,ROOMS_REV_ALOJAMIENTO,ROOMS_REV_UPGRADES,ROOMS_REV_OTROS,ROOMS_REVENUE,FOOD_REVENUE,BEVERAGE_REVENUE,BANQUETS_REVENUE,FB_PENSION,DAY_PASS,FB_REVENUE,OTHER_DEPT_REVENUE,MISC_INCOME,OPERATING_REVENUE,AR,ROOMS_PERSONNEL,ROOMS_OTHER_EXPENSES,ROOMS_OPEX,FOOD_COST,BEVERAGE_COST,FB_COST,FB_PERSONNEL,FB_OTHER_EXPENSES,FB_OPEX,OPERATING_EXPENSES,ROOMS_PROFIT,FB_PROFIT,TOTAL_DEPT_PROFIT,UNDISTRIB_OPEX,GOP
Hotel Alhambra,2025,1,BUDGET,18428,20882,5327177.62,120876.32,1759.76,5449813.70,28334.13,6528.31,0.00,1765922.53,25433.21,1826218.18,48861.00,10186.24,7335079.12,398.04,-220886.50,-550134.80,-771021.30,-671761.67,-256859.32,-928620.99,-441504.22,-89754.22,-1459879.43,-2230900.73,4678792.40,366338.75,5104178.39,-1776453.67,3327724.72
Hotel Alhambra,2025,1,REAL,17763,19260,4606182.16,110647.76,28182.95,4745012.87,160605.13,729.83,0.00,1633482.52,23673.42,1818490.90,66640.00,8341.30,6638485.07,373.72,-203515.19,-557470.98,-760986.18,-527721.59,-210872.04,-738593.63,-392120.05,-71984.60,-1202698.28,-1963684.46,3984026.69,615792.62,4674800.61,-1375963.32,3298837.29
Hotel Alhambra,2025,2,BUDGET,16465,22707,4058131.90,107370.64,870.36,4166372.90,15113.65,4108.60,0.00,1741427.46,8774.02,1769423.74,52999.59,12263.05,6001059.27,364.48,-247146.86,-518478.65,-765625.51,-591088.31,-227409.10,-818497.41,-483422.38,-89145.55,-1391065.33,-2156690.84,3400747.39,378358.41,3844368.43,-1861579.51,1982788.92
Hotel Alhambra,2025,2,REAL,15389,19411,3480297.31,56990.29,16894.97,3554182.56,19274.59,291.03,0.00,1503585.07,10573.00,1533723.70,61718.61,9189.99,5158814.86,335.23,-201573.91,-546445.60,-748019.52,-543720.87,-201419.53,-745140.40,-448643.17,-80014.63,-1273798.19,-2021817.71,2806163.05,259925.51,3136997.15,-1324902.73,1812094.41
Hotel Alhambra,2025,3,BUDGET,16626,23112,2968584.16,90735.73,1405.08,3060724.97,15648.69,3140.80,0.00,1555300.64,10298.82,1584388.95,154256.29,11274.09,4810644.30,289.35,-227736.05,-413276.25,-641012.30,-543671.24,-210278.84,-753950.07,-445228.80,-71085.87,-1270264.74,-1911277.04,2419712.67,314124.20,2899367.26,-1683670.69,1215696.57
Hotel Alhambra,2025,3,REAL,14074,18044,2561052.14,37370.79,3889.29,2602312.22,15200.65,348.79,0.00,1219328.50,20774.72,1255652.65,129566.15,8454.35,3995985.37,283.92,-164792.09,-353900.55,-518692.64,-399973.27,-162179.76,-562153.03,-334265.93,-59212.87,-955631.84,-1474324.48,2083619.58,300020.81,2521660.89,-1295930.38,1225730.51
Hotel Alhambra,2025,4,BUDGET,14490,20012,2771981.50,70667.34,1022.44,2843671.28,10154.78,2427.66,0.00,1149219.80,7251.30,1169053.54,91467.57,10087.34,4114279.73,283.93,-203298.22,-323209.55,-526507.77,-485222.33,-187338.63,-672560.96,-397653.89,-63004.62,-1133219.47,-1659727.24,2317163.51,35834.06,2454552.49,-1406084.81,1048467.68
Hotel Alhambra,2025,4,REAL,12994,18050,2302381.15,19832.78,1992.34,2324206.27,-6701.06,578.12,0.00,1188787.90,14932.43,1197597.39,139566.91,8754.43,3670125.00,282.45,-189889.55,-311681.06,-501570.60,-407970.40,-142084.86,-550055.26,-363362.48,-49689.35,-963107.09,-1464677.69,1822635.66,234490.30,2205447.30,-1192348.54,1013098.77
Hotel Alhambra,2025,5,BUDGET,10933,15814,1874044.53,65145.08,1572.56,1940762.17,10829.23,3076.30,0.00,849692.07,5822.22,869419.82,53901.74,7713.85,2871797.58,262.66,-165388.98,-230049.95,-395438.93,-356082.36,-137658.55,-493740.91,-324495.00,-48215.45,-866451.36,-1261890.28,1545323.24,2968.46,1609907.29,-1075219.60,534687.70
Hotel Alhambra,2025,5,REAL,12651,20477,2022323.64,37448.57,908.03,2060680.24,12889.54,352.16,0.00,1025608.10,11164.42,1050014.21,80807.04,9663.38,3201164.87,253.03,-190498.41,-300793.28,-491291.69,-423868.41,-135835.96,-559704.37,-378861.95,-79760.35,-1018326.66,-1509618.36,1569388.55,31687.55,1691546.52,-1384553.87,306992.64
Hotel Alhambra,2025,6,BUDGET,11607,18443,2043223.69,67046.56,949.39,2111219.64,15363.72,3906.09,0.00,875712.25,5770.00,900752.05,37409.86,9296.18,3058677.73,263.51,-193308.49,-274493.50,-467801.99,-392802.17,-153974.09,-546776.26,-376282.84,-53808.70,-976867.80,-1444669.79,1643417.64,-76115.75,1614007.94,-1265591.54,348416.40
Hotel Alhambra,2025,6,REAL,13343,20993,2326134.89,70158.85,1169.40,2397463.15,12374.06,944.55,0.00,1006656.26,6571.08,1026545.96,57019.83,10127.25,3491156.19,261.65,-207094.96,-262185.48,-469280.44,-424328.38,-156225.85,-580554.23,-413685.78,-65447.63,-1059687.64,-1528968.08,1928182.71,-33141.68,1962188.11,-1425543.27,536644.84
Hotel Alhambra,2025,7,BUDGET,17578,24126,4140481.54,142000.22,3200.46,4285682.22,20084.63,6841.01,0.00,1648975.56,21532.84,1697434.05,66386.18,11768.57,6061271.01,344.83,-252324.21,-496183.76,-748507.98,-666455.01,-257766.15,-924221.16,-495062.88,-94414.42,-1513698.47,-2262206.44,3537174.24,183735.58,3799064.57,-1760681.70,2038382.87
Hotel Alhambra,2025,7,REAL,15100,21085,3405991.81,98420.49,16098.71,3520511.02,27632.50,742.47,-495.40,1451439.05,13770.05,1493088.66,61702.73,14855.74,5090158.15,337.10,-185465.30,-405449.55,-590914.85,-532197.27,-190867.50,-723064.76,-359288.05,-87347.01,-1169699.82,-1760614.68,2929596.16,323388.83,3329543.47,-1531270.03,1798273.44
Hotel Alhambra,2025,8,BUDGET,15875,22910,2664866.89,120110.18,3039.61,2788016.68,20033.53,4603.24,0.00,1310021.11,19028.21,1353686.08,112851.35,11175.20,4265729.31,268.71,-240117.81,-342766.67,-582884.48,-516884.06,-204270.64,-721154.71,-470886.88,-70081.60,-1262123.19,-1845007.67,2205132.20,91562.89,2420721.64,-1553894.47,866827.17
