id_gasto_fijo,id_hotel,fecha,categoria,monto,es_gasto_gop
1,H01,2021-01-31,Marketing,1929.5171713867974,1
2,H01,2021-01-31,Admin,1858.022093416158,1
3,H01,2021-01-31,Mantenimiento,1904.6994230517032,1
4,H01,2021-01-31,Suministros Energéticos,1946.4207803354627,1
5,H01,2021-02-28,Marketing,2112.5695250978256,1
6,H01,2021-02-28,Admin,2182.264707490224,1
7,H01,2021-02-28,Mantenimiento,2059.1232353568194,1
8,H01,2021-02-28,Suministros Energéticos,1923.4709802764708,1
9,H01,2021-03-31,Marketing,2142.587174468882,1
10,H01,2021-03-31,Admin,1843.377908956078,1
11,H01,2021-03-31,Mantenimiento,2055.139357006113,1
12,H01,2021-03-31,Suministros Energéticos,1961.4363792756728,1
13,H01,2021-04-30,Marketing,2090.7756192711254,1
14,H01,2021-04-30,Admin,2172.3332905863526,1
15,H01,2021-04-30,Mantenimiento,1847.09612067373,1
16,H01,2021-04-30,Suministros Energéticos,1973.7272054761877,1
17,H01,2021-05-31,Marketing,1830.7151047087395,1
18,H01,2021-05-31,Admin,2033.134364996262,1
19,H01,2021-05-31,Mantenimiento,2025.6662783082131,1
20,H01,2021-05-31,Suministros Energéticos,2099.072454682624,1
21,H01,2021-06-30,Marketing,2187.231777499416,1
22,H01,2021-06-30,Admin,1950.834976266504,1
23,H01,2021-06-30,Mantenimiento,2102.2094769512805,1
24,H01,2021-06-30,Suministros Energéticos,2195.6601512001857,1
25,H01,2021-07-31,Marketing,1935.6346550765898,1
26,H01,2021-07-31,Admin,2198.0706898899457,1
27,H01,2021-07-31,Mantenimiento,1943.4931779086144,1
28,H01,2021-07-31,Suministros Energéticos,1896.1361392466886,1
29,H01,2021-08-31,Marketing,2079.5613882715197,1
30,H01,2021-08-31,Admin,1815.8213993901718,1
31,H01,2021-08-31,Mantenimiento,2141.0350119927457,1
32,H01,2021-08-31,Suministros Energéticos,1841.3907275335275,1
33,H01,2021-09-30,Marketing,1917.7859700921713,1
34,H01,2021-09-30,Admin,2101.022111202226,1
35,H01,2021-09-30,Mantenimiento,2082.2434251127715,1
36,H01,2021-09-30,Suministros Energéticos,1947.347715157055,1
37,H01,2021-10-31,Marketing,2151.06407323202,1
38,H01,2021-10-31,Admin,1990.9777814886543,1
39,H01,2021-10-31,Mantenimiento,1806.567076220473,1
40,H01,2021-10-31,Suministros Energéticos,2092.241766952045,1
41,H01,2021-11-30,Marketing,2022.973918887665,1
42,H01,2021-11-30,Admin,1934.3333750581548,1
43,H01,2021-11-30,Mantenimiento,1875.2531246263975,1
44,H01,2021-11-30,Suministros Energéticos,1869.9126983382607,1
45,H01,2021-12-31,Marketing,2034.500715169648,1
46,H01,2021-12-31,Admin,1871.7340828935032,1
47,H01,2021-12-31,Mantenimiento,2195.8950321583084,1
48,H01,2021-12-31,Suministros Energéticos,2024.7709416014113,1
49,H01,2022-01-31,Marketing,1964.8512094172731,1
50,H01,2022-01-31,Admin,1937.521476711852,1
51,H01,2022-01-31,Mantenimiento,2068.461887863964,1
52,H01,2022-01-31,Suministros Energéticos,1816.9218310876486,1
53,H01,2022-02-28,Marketing,2186.7333295861017,1
54,H01,2022-02-28,Admin,2130.5867339942956,1
55,H01,2022-02-28,Mantenimiento,1972.186277882623,1
56,H01,2022-02-28,Suministros Energéticos,2027.987998266914,1
57,H01,2022-03-31,Marketing,2011.5378443182371,1
58,H01,2022-03-31,Admin,2003.1683499138194,1
59,H01,2022-03-31,Mantenimiento,2050.780734741277,1
60,H01,2022-03-31,Suministros Energéticos,2057.4282112597243,1
61,H01,2022-04-30,Marketing,2022.3404916751315,1
62,H01,2022-04-30,Admin,1978.2907444969194,1
63,H01,2022-04-30,Mantenimiento,2134.1187974306276,1
64,H01,2022-04-30,Suministros Energéticos,1947.212798773719,1
65,H01,2022-05-31,Marketing,2153.1159491221406,1
66,H01,2022-05-31,Admin,1904.9390373516546,1
67,H01,2022-05-31,Mantenimiento,2192.142084875354,1
68,H01,2022-05-31,Suministros Energéticos,1829.3440957299033,1
69,H01,2022-06-30,Marketing,1871.9286998643781,1
70,H01,2022-06-30,Admin,2014.2941417243296,1
71,H01,2022-06-30,Mantenimiento,2118.24445146538,1
72,H01,2022-06-30,Suministros Energéticos,1847.7186853190633,1
73,H01,2022-07-31,Marketing,1925.3965369702264,1
74,H01,2022-07-31,Admin,1975.8968454414592,1
75,H01,2022-07-31,Mantenimiento,1856.4374073997162,1
76,H01,2022-07-31,Suministros Energéticos,1956.4059678121587,1
77,H01,2022-08-31,Marketing,2055.005271996334,1
78,H01,2022-08-31,Admin,1844.5441382818472,1
79,H01,2022-08-31,Mantenimiento,2178.615395621889,1
80,H01,2022-08-31,Suministros Energéticos,1827.5032994574576,1
81,H01,2022-09-30,Marketing,2191.3909749618488,1
82,H01,2022-09-30,Admin,1875.158007764985,1
83,H01,2022-09-30,Mantenimiento,1941.5737925067247,1
84,H01,2022-09-30,Suministros Energéticos,1895.567551823794,1
85,H01,2022-10-31,Marketing,2049.87959617926,1
86,H01,2022-10-31,Admin,1996.7000174788363,1
87,H01,2022-10-31,Mantenimiento,1846.2423816999192,1
88,H01,2022-10-31,Suministros Energéticos,2096.004592422232,1
89,H01,2022-11-30,Marketing,2148.5719832362734,1
90,H01,2022-11-30,Admin,1806.8314957309674,1
91,H01,2022-11-30,Mantenimiento,2174.359083366045,1
92,H01,2022-11-30,Suministros Energéticos,2174.179437772801,1
93,H01,2022-12-31,Marketing,1999.5994833793459,1
94,H01,2022-12-31,Admin,2084.148981947603,1
95,H01,2022-12-31,Mantenimiento,2079.0086983497627,1
96,H01,2022-12-31,Suministros Energéticos,1943.8208436859065,1
97,H01,2023-01-31,Marketing,1829.005369560318,1
98,H01,2023-01-31,Admin,1901.916258682547,1
99,H01,2023-01-31,Mantenimiento,2154.7989719242555,1
100,H01,2023-01-31,Suministros Energéticos,2070.676780884731,1
101,H01,2023-02-28,Marketing,1813.8214822362931,1
102,H01,2023-02-28,Admin,2122.147459794904,1
103,H01,2023-02-28,Mantenimiento,2155.570378924831,1
104,H01,2023-02-28,Suministros Energéticos,1848.0839325688044,1
105,H01,2023-03-31,Marketing,2162.816349902398,1
106,H01,2023-03-31,Admin,2129.205556274358,1
107,H01,2023-03-31,Mantenimiento,2053.0018578120803,1
108,H01,2023-03-31,Suministros Energéticos,1898.394749146505,1
109,H01,2023-04-30,Marketing,1970.3287057946834,1
110,H01,2023-04-30,Admin,1952.5312392965934,1
111,H01,2023-04-30,Mantenimiento,1849.3945196062791,1
112,H01,2023-04-30,Suministros Energéticos,1972.7770807241611,1
113,H01,2023-05-31,Marketing,2072.3115383741756,1
114,H01,2023-05-31,Admin,1859.1708937054648,1
115,H01,2023-05-31,Mantenimiento,2080.2398997565037,1
116,H01,2023-05-31,Suministros Energéticos,1956.0477752710121,1
117,H01,2023-06-30,Marketing,2140.5473393144366,1
118,H01,2023-06-30,Admin,1869.0297233450976,1
119,H01,2023-06-30,Mantenimiento,2095.7040628433565,1
