id_reserva,id_hotel,id_canal,id_tipo_hab,fecha_checkin,pax_adultos,pax_ninos,pax_total,ingreso_alojamiento_neto,noches,estado_reserva
100000,H01,3,1,2021-01-01,2,1,3,324.96906160886414,3,Confirmada
100001,H01,1,3,2021-01-01,1,1,2,732.9781477575085,2,Confirmada
100002,H01,4,3,2021-01-01,2,0,2,1512.1756424865712,4,Confirmada
100003,H01,3,2,2021-01-01,2,0,2,952.7972708402011,5,Confirmada
100004,H01,4,2,2021-01-01,2,1,3,332.0026435776319,2,Confirmada
100005,H01,3,2,2021-01-01,2,0,2,559.6457579777634,3,Confirmada
100006,H01,1,3,2021-01-01,2,0,2,367.8051478049288,1,Confirmada
100007,H01,1,1,2021-01-01,1,0,1,313.5234747695367,3,Confirmada
100008,H01,1,2,2021-01-01,1,0,1,493.9445911295934,3,Confirmada
100009,H01,1,3,2021-01-02,2,1,3,713.924634610132,2,Confirmada
100010,H01,2,3,2021-01-02,2,1,3,1410.3342422159858,4,Confirmada
100011,H01,3,3,2021-01-02,1,1,2,1779.7190250951362,5,Confirmada
100012,H01,1,3,2021-01-02,2,1,3,1814.6985511648727,5,Confirmada
100013,H01,1,1,2021-01-02,1,0,1,181.15947720375033,2,Confirmada
100014,H01,1,2,2021-01-02,1,1,2,754.6770131774434,4,Confirmada
100015,H01,1,3,2021-01-02,2,1,3,1806.8744604264568,5,Confirmada
100016,H01,4,3,2021-01-02,1,0,1,364.6079303167067,1,Confirmada
100017,H01,4,1,2021-01-02,1,0,1,303.43871831904136,3,Confirmada
100018,H01,4,1,2021-01-02,1,0,1,100.08190229352056,1,Confirmada
100019,H01,1,1,2021-01-03,1,0,1,200.91310109243716,2,Confirmada
100020,H01,1,2,2021-01-03,2,0,2,861.3977288165161,5,Confirmada
100021,H01,2,3,2021-01-03,2,1,3,1807.602799803164,5,Confirmada
100022,H01,4,1,2021-01-03,2,0,2,279.7714974982697,3,Confirmada
100023,H01,1,1,2021-01-03,1,0,1,191.36651222819498,2,Confirmada
100024,H01,3,3,2021-01-03,1,0,1,732.095276237978,2,Confirmada
100025,H01,1,1,2021-01-03,1,0,1,102.53863661859717,1,Confirmada
100026,H01,2,1,2021-01-03,1,1,2,323.3760837074637,3,Confirmada
100027,H01,1,1,2021-01-03,1,0,1,273.64691054908025,3,Confirmada
100028,H01,2,2,2021-01-03,1,1,2,579.0319756078516,3,Confirmada
100029,H01,4,3,2021-01-04,1,0,1,376.4096161945957,1,Confirmada
100030,H01,3,3,2021-01-04,2,1,3,1131.7057325168112,3,Confirmada
100031,H01,3,3,2021-01-04,1,0,1,1379.1375957664322,4,Confirmada
100032,H01,1,1,2021-01-04,2,1,3,429.6213172280814,4,Confirmada
100033,H01,3,3,2021-01-04,1,0,1,1688.706203484751,5,Confirmada
100034,H01,2,1,2021-01-04,1,1,2,208.7046948007704,2,Confirmada
100035,H01,4,2,2021-01-04,2,1,3,935.177493864285,5,Confirmada
100036,H01,3,3,2021-01-04,1,1,2,1403.7222030886594,4,Confirmada
100037,H01,3,3,2021-01-05,1,0,1,708.6539432473634,2,Confirmada
100038,H01,2,3,2021-01-05,1,0,1,994.69762969074,3,Confirmada
100039,H01,3,3,2021-01-05,2,0,2,358.3381492146288,1,Confirmada
100040,H01,2,2,2021-01-05,2,0,2,983.2075340463311,5,Confirmada
100041,H01,4,2,2021-01-05,1,1,2,333.9382258941578,2,Confirmada
100042,H01,1,1,2021-01-05,2,0,2,272.0919543790215,3,Confirmada
100043,H01,1,2,2021-01-05,2,0,2,495.01468387965133,3,Confirmada
100044,H01,3,1,2021-01-05,2,0,2,289.474580137762,3,Confirmada
100045,H01,2,1,2021-01-05,2,0,2,91.00431929841614,1,Confirmada
100046,H01,2,2,2021-01-06,2,1,3,836.5142422281408,5,Confirmada
100047,H01,2,3,2021-01-06,1,1,2,1091.3683896356722,3,Confirmada
100048,H01,3,1,2021-01-06,1,0,1,286.24992842039757,3,Confirmada
100049,H01,3,2,2021-01-06,2,0,2,575.9085716589218,3,Confirmada
100050,H01,1,2,2021-01-06,2,1,3,162.03073310774653,1,Confirmada
100051,H01,4,1,2021-01-06,2,1,3,215.42883121684446,2,Confirmada
100052,H01,1,2,2021-01-06,1,0,1,943.2933056428409,5,Confirmada
100053,H01,2,2,2021-01-06,2,1,3,580.2226946137957,3,Confirmada
100054,H01,3,1,2021-01-06,1,1,2,506.83051045948366,5,Confirmada
100055,H01,2,2,2021-01-07,1,1,2,785.2934856097171,4,Confirmada
100056,H01,4,1,2021-01-07,2,1,3,270.5863338851689,3,Confirmada
100057,H01,4,1,2021-01-07,2,0,2,187.92308480234527,2,Confirmada
100058,H01,4,2,2021-01-07,2,1,3,741.9599108077207,4,Confirmada
100059,H01,4,1,2021-01-07,2,0,2,305.19351364484123,3,Confirmada
100060,H01,2,3,2021-01-07,1,1,2,340.22788835836604,1,Confirmada
100061,H01,2,1,2021-01-07,2,1,3,189.5803097616122,2,Confirmada
100062,H01,1,3,2021-01-07,1,1,2,1742.012163188921,5,Confirmada
100063,H01,3,3,2021-01-07,1,1,2,1847.0035178803162,5,Confirmada
100064,H01,4,3,2021-01-07,1,0,1,1789.6991915324313,5,Confirmada
100065,H01,1,1,2021-01-08,2,1,3,470.0643682957196,5,Confirmada
100066,H01,4,2,2021-01-08,2,0,2,509.14739829095777,3,Confirmada
100067,H01,2,3,2021-01-08,2,0,2,730.8946902729526,2,Confirmada
100068,H01,3,1,2021-01-08,2,1,3,530.5357670161776,5,Confirmada
100069,H01,3,3,2021-01-08,1,0,1,382.6670866693705,1,Confirmada
100070,H01,3,1,2021-01-08,1,1,2,381.49342277022623,4,Confirmada
100071,H01,1,3,2021-01-08,2,0,2,735.9425238375878,2,Confirmada
100072,H01,1,3,2021-01-08,1,0,1,1396.1696636297277,4,Confirmada
100073,H01,1,3,2021-01-08,1,1,2,736.8784939908941,2,Confirmada
100074,H01,1,2,2021-01-08,1,0,1,363.9934804254244,2,Confirmada
100075,H01,1,1,2021-01-09,2,0,2,289.04995725567414,3,Confirmada
100076,H01,4,1,2021-01-09,1,1,2,90.66392630131124,1,Confirmada
100077,H01,3,1,2021-01-09,1,1,2,96.37309508134703,1,Confirmada
100078,H01,4,3,2021-01-09,1,1,2,1921.552619134764,5,Confirmada
100079,H01,3,1,2021-01-09,1,1,2,289.5389091903803,3,Confirmada
100080,H01,4,2,2021-01-09,1,1,2,776.0865586175324,4,Confirmada
100081,H01,2,1,2021-01-09,1,0,1,192.06176053155463,2,Confirmada
100082,H01,1,1,2021-01-09,1,1,2,318.5498282968666,3,Confirmada
100083,H01,3,1,2021-01-10,1,0,1,103.63471904131222,1,Confirmada
100084,H01,2,3,2021-01-10,2,0,2,691.7853839379133,2,Confirmada
100085,H01,3,1,2021-01-10,1,0,1,209.2594852757383,2,Confirmada
100086,H01,3,3,2021-01-10,1,0,1,335.67143459087225,1,Confirmada
100087,H01,3,3,2021-01-10,2,0,2,639.8153494981979,2,Confirmada
100088,H01,4,3,2021-01-10,1,0,1,758.9800976352151,2,Confirmada
100089,H01,3,3,2021-01-10,2,1,3,1071.4304041453638,3,Confirmada
100090,H01,2,3,2021-01-10,1,1,2,1110.3962407569454,3,Confirmada
100091,H01,4,3,2021-01-10,1,1,2,1790.296264684673,5,Confirmada
100092,H01,2,3,2021-01-11,1,0,1,373.84204357529023,1,Confirmada
100093,H01,4,3,2021-01-11,1,1,2,369.9568606265718,1,Confirmada
100094,H01,2,2,2021-01-11,1,0,1,525.054564858438,3,Confirmada
100095,H01,2,3,2021-01-11,2,1,3,967.8606937957977,3,Confirmada
100096,H01,3,2,2021-01-11,2,1,3,182.0028512593789,1,Confirmada
100097,H01,2,2,2021-01-11,1,1,2,330.5358589629279,2,Confirmada
100098,H01,1,3,2021-01-11,2,1,3,1874.1358545876055,5,Confirmada
100099,H01,3,1,2021-01-11,1,1,2,104.18805539438662,1,Confirmada
100100,H01,4,3,2021-01-11,1,1,2,360.51246881727087,1,Confirmada
100101,H01,3,2,2021-01-12,1,1,2,912.6430996402441,5,Confirmada
100102,H01,3,2,2021-01-12,1,0,1,342.20372005407893,2,Confirmada
100103,H01,2,3,2021-01-12,1,1,2,1276.7346501395768,4,Confirmada
100104,H01,1,2,2021-01-12,2,0,2,837.3907289003635,5,Confirmada
100105,H01,1,1,2021-01-12,1,0,1,460.0804784868558,5,Confirmada
100106,H01,2,2,2021-01-12,2,1,3,496.2704402897043,3,Confirmada
100107,H01,2,2,2021-01-12,2,1,3,835.9652365409866,5,Confirmada
