hotel_name,month,occupancy_rate,ADR,rooms_available,rooms_sold,revenue_rooms,revenue_FnB,total_revenue,operating_costs,GOP,RevPAR,RevPAR_mom_change_%,ADR_mom_change_%,occupancy_rate_mom_change_%
Hotel Mar,2023-01-01,0.74,117.03,100,2205,258050.07,53577.84,311627.91,165900.55,145727.36,2580.5,,,
Hotel Mar,2023-02-01,0.51,140.01,100,1542,215887.93,63537.29,279425.22,182344.85,97080.37,2158.88,-16.34,19.63,-30.07
Hotel Mar,2023-03-01,0.91,97.42,100,2725,265475.35,85779.03,351254.38,255244.38,96010.0,2654.75,22.97,-30.42,76.68
Hotel Mar,2023-04-01,0.6,78.47,100,1808,141869.76,40706.04,182575.81,100118.44,82457.37,1418.7,-46.56,-19.46,-33.62
Hotel Mar,2023-05-01,0.92,158.89,100,2755,437750.88,170732.09,608482.97,463322.17,145160.81,4377.51,208.56,102.49,52.31
Hotel Mar,2023-06-01,0.86,90.52,100,2584,233910.67,109415.86,343326.53,227214.42,116112.12,2339.11,-46.57,-43.03,-6.18
Hotel Mar,2023-07-01,0.86,168.57,100,2590,436596.41,128971.04,565567.45,301456.26,264111.19,4365.96,86.65,86.22,0.2
Hotel Mar,2023-08-01,0.6,116.98,100,1807,211386.22,94152.36,305538.57,231665.2,73873.37,2113.86,-51.58,-30.6,-30.21
Hotel Mar,2023-09-01,0.5,126.18,100,1509,190408.94,61925.43,252334.37,142980.82,109353.55,1904.09,-9.92,7.86,-16.5
Hotel Mar,2023-10-01,0.55,107.14,100,1661,177955.67,85929.97,263885.64,157529.4,106356.24,1779.56,-6.54,-15.09,10.1
Hotel Mar,2023-11-01,0.73,147.33,100,2200,324130.59,100185.16,424315.75,335860.61,88455.14,3241.31,82.14,37.52,32.41
Hotel Mar,2023-12-01,0.93,97.7,100,2799,273451.25,95482.22,368933.47,217767.96,151165.51,2734.51,-15.64,-33.69,27.22
Hotel Mar,2024-01-01,0.63,74.06,100,1884,139524.45,53419.63,192944.08,125568.72,67375.36,1395.24,-48.98,-24.2,-32.68
Hotel Mar,2024-02-01,0.52,100.65,100,1569,157921.59,74614.76,232536.35,132980.23,99556.12,1579.22,13.19,35.91,-16.72
Hotel Mar,2024-03-01,0.57,123.84,100,1695,209908.47,104050.61,313959.07,179778.17,134180.9,2099.08,32.92,23.04,8.04
Hotel Mar,2024-04-01,0.8,153.78,100,2407,370144.03,100416.84,470560.87,338081.47,132479.4,3701.44,76.34,24.18,41.98
Hotel Mar,2024-05-01,0.67,139.55,100,1996,278549.07,108650.55,387199.61,255835.33,131364.28,2785.49,-24.75,-9.25,-17.07
Hotel Mar,2024-06-01,0.54,161.88,100,1621,262412.79,77735.59,340148.38,189107.38,151041.0,2624.13,-5.79,16.0,-18.76
Hotel Mar,2024-07-01,0.52,135.0,100,1555,209922.24,84655.2,294577.43,148754.64,145822.8,2099.22,-20.0,-16.61,-4.12
Hotel Mar,2024-08-01,0.73,94.91,100,2191,207957.75,81842.15,289799.9,160059.36,129740.54,2079.58,-0.94,-29.69,40.92
Hotel Mar,2024-09-01,0.81,112.54,100,2432,273699.44,131654.63,405354.07,219400.44,185953.63,2736.99,31.61,18.57,11.02
Hotel Mar,2024-10-01,0.65,82.48,100,1960,161664.89,77180.13,238845.02,182286.95,56558.07,1616.65,-40.93,-26.71,-19.42
Hotel Mar,2024-11-01,0.62,142.6,100,1848,263521.56,117311.01,380832.57,253847.85,126984.72,2635.22,63.0,72.88,-5.72
Hotel Mar,2024-12-01,0.74,96.6,100,2215,213977.31,48772.03,262749.34,202097.52,60651.81,2139.77,-18.8,-32.25,19.85
Hotel Sierra,2023-01-01,0.91,139.64,100,2715,379125.75,114385.63,493511.38,298457.36,195054.02,3791.26,,,
Hotel Sierra,2023-02-01,0.83,168.68,100,2480,418331.68,194995.24,613326.92,450159.06,163167.86,4183.32,10.34,20.8,-8.67
Hotel Sierra,2023-03-01,0.79,79.26,100,2366,187518.27,46596.15,234114.42,180166.56,53947.86,1875.18,-55.17,-53.01,-4.57
Hotel Sierra,2023-04-01,0.77,71.01,100,2318,164605.06,37931.83,202536.9,141583.52,60953.37,1646.05,-12.22,-10.4,-2.03
Hotel Sierra,2023-05-01,0.5,87.69,100,1506,132059.46,48151.54,180211.0,127511.64,52699.36,1320.59,-19.77,23.49,-35.01
Hotel Sierra,2023-06-01,0.79,94.67,100,2380,225313.71,93201.86,318515.57,181928.04,136587.53,2253.14,70.62,7.96,57.96
Hotel Sierra,2023-07-01,0.65,152.11,100,1939,294949.15,116472.43,411421.58,310527.44,100894.14,2949.49,30.91,60.68,-18.52
Hotel Sierra,2023-08-01,0.8,132.51,100,2387,316310.79,72151.26,388462.05,237084.12,151377.93,3163.11,7.24,-12.89,23.13
Hotel Sierra,2023-09-01,0.62,96.84,100,1858,179926.6,88506.47,268433.07,165872.66,102560.41,1799.27,-43.12,-26.92,-22.19
Hotel Sierra,2023-10-01,0.9,139.43,100,2704,377005.87,165295.73,542301.61,352925.07,189376.53,3770.06,109.53,43.98,45.55
Hotel Sierra,2023-11-01,0.76,124.18,100,2278,282875.08,73143.83,356018.91,255171.44,100847.47,2828.75,-24.97,-10.94,-15.73
Hotel Sierra,2023-12-01,0.63,72.67,100,1879,136555.87,53754.08,190309.95,105266.75,85043.2,1365.56,-51.73,-41.47,-17.54
Hotel Sierra,2024-01-01,0.92,174.93,100,2769,484387.11,229821.98,714209.08,436415.75,277793.33,4843.87,254.72,140.71,47.4
Hotel Sierra,2024-02-01,0.51,172.12,100,1520,261614.86,85928.77,347543.64,274558.24,72985.4,2616.15,-45.99,-1.61,-45.09
Hotel Sierra,2024-03-01,0.93,163.83,100,2800,458726.91,132266.87,590993.78,363774.0,227219.78,4587.27,75.34,-4.81,84.16
Hotel Sierra,2024-04-01,0.88,104.86,100,2649,277777.9,69679.98,347457.89,231768.44,115689.45,2777.78,-39.45,-35.99,-5.42
Hotel Sierra,2024-05-01,0.92,146.56,100,2763,404954.34,150245.49,555199.83,293785.62,261414.2,4049.54,45.78,39.77,4.33
Hotel Sierra,2024-06-01,0.78,178.91,100,2330,416850.8,100888.4,517739.2,339377.48,178361.73,4168.51,2.94,22.07,-15.69
Hotel Sierra,2024-07-01,0.89,151.48,100,2684,406584.53,166335.65,572920.18,407200.28,165719.9,4065.85,-2.46,-15.33,15.2
Hotel Sierra,2024-08-01,0.66,102.3,100,1985,203055.78,89914.79,292970.57,217687.1,75283.47,2030.56,-50.06,-32.47,-26.04
Hotel Sierra,2024-09-01,0.89,170.46,100,2670,455118.75,160840.2,615958.95,400653.51,215305.44,4551.19,124.13,66.63,34.52
Hotel Sierra,2024-10-01,0.86,141.5,100,2577,364635.28,149715.62,514350.9,379970.45,134380.45,3646.35,-19.88,-16.99,-3.48
